Accession Number,Date Recorded,Subject,Title
SPW 22,,SLIDE SHOW,SLIDE SHOW 1B
SPW 06,1977-01-01T00:00:00Z,Libraries,New Alexandria Library
SPW 07,,Interview,Judy Pushkin
SPW 08,1978-01-01T00:00:00Z,,Conversation with Gudula
SPW 10,1975-01-01T00:00:00Z,,Interview with Dorothy Mayer
SPW 11,1980-01-01T00:00:00Z,Lesbian Astrology,Lee Lehman: The Astrology of Lesbianism
SPW 12,,Fundraising,Lesbian Herstory Archives
SPW 13,,Play,Jane Staab
SPW 31,,Poetry,Marge McDonald's Poems
,,Lesbiana,
SPW 03,1979-01-01T00:00:00Z,,Lesbian Gay Research Group
SPW 04,,,Arisa Talking with Mary Slaughter and Her Mother Mrs. Irene Slaughter.
SPW 16,,,Interview with Lillian Foster and Interview with Mary Gonzalez
SPW 15,1979-01-01T00:00:00Z,Poetry,At Homes: Irare Sabasu and Gwen Elliot
SPW 14,1980-01-01T00:00:00Z,At Home with the Archives,At Homes: Dorothy Allison
SPW 17,,Interview,At Homes: Hilary Morgan
SPW 18,1978-01-01T00:00:00Z,SLIDE SHOW,Music for some of the slide shows
SPW 19,,,TEE CORRINE/SLIDE SHOW
SPW 20,1978-01-01T00:00:00Z,,SLIDE SHOW VERSION #2
SPW 21,,,SLIDE SHOW 1A
SPW 23,1980-01-01T00:00:00Z,,LHA PRE 1970'S SLIDESHOW
SPW 24,1979-01-01T00:00:00Z,PRESENTATION,LESBIAN IMAGES
SPW 25,1987-01-01T00:00:00Z,HYPNOSIS,FEMINIST HYPNOSIS
SPW 26,1994-01-01T00:00:00Z,,Esther Newton/Tuula Javonen
SPW 27,1992-01-01T00:00:00Z,Writing,Outwrite '92 Opening Session
,,Political Movements and Community Struggles,
SPW 28,1990-01-01T00:00:00Z,AIDS,Outwrite Conference 1990:  AIDS and the responsiblity of the writer
,,Writing,
,,Political Movements and Community Struggles,
SPW 29,,Archives: Lesbian & Gay--general,Out of the Closet and into the Stacks
,,history,
,,gay studies,
,,,
SPW 30,1988-07-22T00:00:00Z,Poetry,Barbara Deming Memorial Poetry Reading
,,feminism,
SPW 32,1977-01-01T00:00:00Z,"Archives, Lesbian--LHA",Joan and Deb Talk about the Archives with Dorsey From VA
SPW 33,1981-01-01T00:00:00Z,Sexuality,Interview with Anne O.
,,Political Movements and Community Struggles,
SPW 34,1976-03-12T19:00:00Z,Jewish Lesbians,R. Diskin; Hanita
,,history,
,,Israel,
SPW 35,1993-01-01T00:00:00Z,AIDS,Kate Black/lesbians in ACT-UP: Maxine Wolfe
,,Activism,
,,feminism,
,,the Communist Party,
,,McCarthy Period,
SPW 36,,AIDS,Kate Black/lesbians in ACT-UP: Polly Thistlethwaite
,,Activism,
,,labor struggles,
,,homophobia,
,,Lesbian Herstory Archives,
SPW 37,,AIDS,Kate Black/lesbians in ACT-UP: Jeannie Pejko
,,Activism,
,,Chicago Women's AIDS Project,
SPW 38,,AIDS,Kate Black/lesbians in ACT-UP: Jeanne Kracher
,,Activism,
,,socialism,
,,the Left,
,,gay pride celebrations,
SPW 39,,AIDS,Kate Black/lesbians in ACT-UP: Crystal Mason
,,Activism,
SPW 45,,AIDS,Kate Black/lesbians in ACT-UP: Deborah 'Deeg' Gould
,,actvism,
SPW 42,,AIDS,Kate Black/lesbians in ACT-UP: Marion Banzhaf
,,Activism,
SPW 43,,,Kate Black/lesbians in ACT-UP: Joy DeVincenzo
SPW 44,,,Kate Black/lesbians in ACT-UP: Risa Denenberg
SPW 41,,AIDS,Kate Black/lesbians in ACT-UP: Debbie Gould
,,Activism,
,,graduate school,
,,feminism,
,,unions,
SPW 02,1980-01-01T00:00:00Z,,GWA Journal Writing
SPW 09,,Interview,Interview With A Lesbian From France
SPW 65,1980-02-28T00:00:00Z,,Deborah Wolf Interviews-Tape Number One Deborah Wolf Interviews - Ann
SPW 66,,,Deborah Wolf Interviews-Tape Number Two Deborah Wolf Interviews - Micky
SPW 67,1980-02-11T00:00:00Z,,Deborah Wolf Interviews-Tape Number Three Deborah Wolf Interviews - Micky
SPW 68,1978-10-20T00:00:00Z,,Deborah Wolf Interviews-Tape Number Four Deborah Wolf Interviews - Win
SPW 69,1978-08-10T00:00:00Z,,Deborah Wolf Interviews-Tape Number Five Deborah Wolf Interviews - Donna
